end_date,p_mm,yr,start_date
1915-10-01,68.45532852010474,1915,1915-10-01
1916-08-04,67.28762911151917,1916,1916-08-04
1917-01-22,52.71797128982422,1917,1917-01-22
1918-08-31,55.754613739564654,1918,1918-08-31
1919-07-15,57.929886116289275,1919,1919-07-15
1920-07-24,70.90431008188773,1920,1920-07-24
1921-05-25,68.17062415369315,1921,1921-05-25
1922-07-13,79.78563641709032,1922,1922-07-13
1923-04-13,39.81135718837806,1923,1923-04-13
1924-01-03,68.16261082600231,1924,1924-01-03
1925-10-17,47.94458751673561,1925,1925-10-17
1926-08-18,59.73777911740579,1926,1926-08-18
1927-10-18,45.869330413103704,1927,1927-10-18
1928-04-27,53.84065996862053,1928,1928-04-27
1929-10-02,75.61291542473352,1929,1929-10-02
1930-06-09,45.195623004301034,1930,1930-06-09
1931-05-12,39.30723936093646,1931,1931-05-12
1932-05-11,42.35474111423447,1932,1932-05-11
1933-08-10,42.22460730812269,1933,1933-08-10
1934-08-15,57.67663490859762,1934,1934-08-15
1935-09-03,50.75079672451686,1935,1935-09-03
1936-03-17,76.61058573412602,1936,1936-03-17
1937-10-27,77.6538720265433,1937,1937-10-27
1938-07-23,45.011030429275365,1938,1938-07-23
1939-06-28,40.5309079237885,1939,1939-06-28
1940-08-26,57.5742820708079,1940,1940-08-26
1941-07-03,75.24624860420681,1941,1941-07-03
1942-10-14,98.35981422083799,1942,1942-10-14
1943-01-26,35.7975614134301,1943,1943-01-26
1944-10-20,59.20097701537513,1944,1944-10-20
1945-09-17,58.95578131464562,1945,1945-09-17
1946-06-18,44.28728753164896,1946,1946-06-18
1947-08-25,48.82138974070156,1947,1947-08-25
1948-04-12,54.026177848787285,1948,1948-04-12
1949-06-17,82.63261495773375,1949,1949-06-17
1950-09-21,53.795485896038045,1950,1950-09-21
1951-06-13,49.44096182682296,1951,1951-06-13
1952-11-21,71.9858262349038,1952,1952-11-21
1953-03-24,34.81840457848732,1953,1953-03-24
1954-10-15,136.24857521552767,1954,1954-10-15
1955-06-08,78.18436961885563,1955,1955-06-08
1956-08-05,64.27936591909418,1956,1956-08-05
1957-10-06,64.82399956111914,1957,1957-10-06
1958-05-05,40.19308340775106,1958,1958-05-05
1959-09-30,72.68872931831682,1959,1959-09-30
1960-05-08,82.302101884931,1960,1960-05-08
1961-02-08,33.544361319155726,1961,1961-02-08
1962-03-06,45.895280708532276,1962,1962-03-06
1963-11-07,45.20066923011922,1963,1963-11-07
1964-04-29,74.10506033284568,1964,1964-04-29
1965-03-05,49.29607815553438,1965,1965-03-05
1966-09-14,57.64398951702785,1966,1966-09-14
1967-03-06,56.928917591250546,1967,1967-03-06
1968-05-24,66.42300859520205,1968,1968-05-24
1969-08-10,41.513895125219264,1969,1969-08-10
1970-08-23,50.339660938559476,1970,1970-08-23
1971-01-01,51.149487943742194,1971,1971-01-01
1972-06-22,65.81277025344326,1972,1972-06-22
1973-10-29,75.24664374487742,1973,1973-10-29
1974-12-02,80.10195638996262,1974,1974-12-02
1975-08-31,60.74316174826986,1975,1975-08-31
1976-10-09,65.9256371422205,1976,1976-10-09
1977-03-13,46.35587483008414,1977,1977-03-13
1978-07-03,61.46804985781814,1978,1978-07-03
1979-09-06,52.00497724182462,1979,1979-09-06
1980-04-09,50.04727795149211,1980,1980-04-09
1981-10-27,52.46512754554673,1981,1981-10-27
1982-07-03,54.01792243225121,1982,1982-07-03
1983-04-24,38.31941937983051,1983,1983-04-24
1984-06-30,60.35818302339805,1984,1984-06-30
1985-11-04,93.48776443896716,1985,1985-11-04
1986-03-14,37.37704550304901,1986,1986-03-14
1987-09-07,40.26515453643182,1987,1987-09-07
1988-05-05,48.1889665787597,1988,1988-05-05
1989-03-06,54.18221939743137,1989,1989-03-06
1990-07-12,47.72773780517359,1990,1990-07-12
1991-12-02,43.049280193345496,1991,1991-12-02
1992-12-10,60.944894145044614,1992,1992-12-10
1993-11-27,58.67435476299703,1993,1993-11-27
1994-02-08,64.02639927812446,1994,1994-02-08
1995-08-05,56.46371556957912,1995,1995-08-05
1996-09-06,138.1099600264462,1996,1996-09-06
1997-11-07,52.6229016994837,1997,1997-11-07
1998-04-19,55.325226335374715,1998,1998-04-19
1999-04-09,36.18671259063359,1999,1999-04-09
2000-02-18,56.122270859795705,2000,2000-02-18
2001-06-06,49.507598595201806,2001,2001-06-06
2002-09-26,40.124649872705966,2002,2002-09-26
2003-09-18,77.50219594995353,2003,2003-09-18
2004-09-08,91.74694112737886,2004,2004-09-08
2005-03-28,46.10096858764115,2005,2005-03-28
2006-09-01,46.248459685848516,2006,2006-09-01
2007-08-20,63.7021560984465,2007,2007-08-20
2008-12-11,45.30087533789932,2008,2008-12-11
2009-06-17,50.69671368960508,2009,2009-06-17
2010-09-30,51.02353523983986,2010,2010-09-30
2011-09-06,77.19478672270964,2011,2011-09-06
